subset,model,n,positive_n,AUROC,AUPRC_AP
primary,Jev,17191,392,0.9220384534550768,0.5012314499285581
primary,BM25,17191,392,0.6656621932063498,0.04055232960100234
primary,TF-IDF,17191,392,0.6881950425863541,0.05082476733139538
primary,MiniLM,17191,392,0.800189075272945,0.08293751532171188
primary,LR,17191,392,0.7700412803969138,0.08479904990847026
duplicate_adjusted,Jev,17134,390,0.9222469280997709,0.5084403372585923
duplicate_adjusted,BM25,17134,390,0.6650351599348255,0.040534409757704726
duplicate_adjusted,TF-IDF,17134,390,0.6884245562130178,0.0511842712086425
duplicate_adjusted,MiniLM,17134,390,0.8007381901821701,0.08330171281537214
duplicate_adjusted,LR,17134,390,0.7697734818136156,0.0852824715862941
complete_title_abstract,Jev,16512,389,0.9216597598761577,0.5040531398674216
complete_title_abstract,BM25,16512,389,0.657541550359886,0.04070421346059702
complete_title_abstract,TF-IDF,16512,389,0.6812678944495936,0.05179617755858754
complete_title_abstract,MiniLM,16512,389,0.7968956353686562,0.0843793778009928
complete_title_abstract,LR,16512,389,0.7664373827996761,0.08537391389508932
no_abstract_index_gap,Jev,16685,368,0.9249769678729306,0.5047518478594756
no_abstract_index_gap,BM25,16685,368,0.6718841179244905,0.03992403082928314
no_abstract_index_gap,TF-IDF,16685,368,0.6920635420247222,0.05009781592197656
no_abstract_index_gap,MiniLM,16685,368,0.8005478581953738,0.08109199056572837
no_abstract_index_gap,LR,16685,368,0.7783476688756192,0.08634011691541725
strict_clean,Jev,15964,363,0.9248183391507537,0.5149616239048742
strict_clean,BM25,15964,363,0.6635795226095381,0.040061696564313874
strict_clean,TF-IDF,15964,363,0.6853800605774547,0.05144099764461518
strict_clean,MiniLM,15964,363,0.7977609862191852,0.08286112950711055
strict_clean,LR,15964,363,0.7747384279774394,0.08753427223859901
no_cross_review_overlap,Jev,16829,387,0.9210748486497207,0.4999365249932127
no_cross_review_overlap,BM25,16829,387,0.6648126827149353,0.040624514669080944
no_cross_review_overlap,TF-IDF,16829,387,0.6856258802769865,0.04972478625089927
no_cross_review_overlap,MiniLM,16829,387,0.8011669396487913,0.08366198500386567
no_cross_review_overlap,LR,16829,387,0.7716211429291657,0.08558433640100821
