bin,lower,upper,n,mean_probability,observed_fraction
0,0.0,0.1,16401,0.0019139076885555757,0.007133711359063472
1,0.1,0.2,192,0.13572916666666668,0.14583333333333334
2,0.2,0.3,80,0.23912500000000003,0.1625
3,0.3,0.4,67,0.34761194029850745,0.19402985074626866
4,0.4,0.5,58,0.4467241379310345,0.22413793103448276
5,0.5,0.6,67,0.5425373134328358,0.3582089552238806
6,0.6,0.7,55,0.6490909090909088,0.2727272727272727
7,0.7,0.8,60,0.7526666666666667,0.4166666666666667
8,0.8,0.9,73,0.8463013698630136,0.6301369863013698
9,0.9,1.0,138,0.9521739130434783,0.7101449275362319
