score_scale,comparison,metric,difference,ci_low,ci_high,bonferroni_8_comparisons_ci_low,bonferroni_8_comparisons_ci_high,bootstrap_n
primary,Jev - BM25,AUROC,0.25637626024872706,0.2265900320777534,0.28811844704403644,0.21400103800075007,0.30036925147234184,5000
primary,Jev - BM25,AUPRC_AP,0.4606791203275557,0.40820163026598594,0.5143208463418428,0.3868965210884864,0.5342045700570456,5000
primary,Jev - TF-IDF,AUROC,0.23384341086872273,0.20480070404287204,0.26412310533043465,0.1917300804445544,0.2775594847483034,5000
primary,Jev - TF-IDF,AUPRC_AP,0.45040668259716266,0.3984749524293903,0.503350564263639,0.3754784656801104,0.5237401641658839,5000
primary,Jev - MiniLM,AUROC,0.12184937818213182,0.0978880090272367,0.14556167326661354,0.08838642503463169,0.155463701594926,5000
primary,Jev - MiniLM,AUPRC_AP,0.41829393460684616,0.3659071019212974,0.47074481482185143,0.346332719475272,0.49271088892233694,5000
primary,Jev - LR,AUROC,0.15199717305816307,0.12215720679293376,0.18147518923885714,0.11138653307144324,0.1936422691613904,5000
primary,Jev - LR,AUPRC_AP,0.4164324000200878,0.3635442989140752,0.46957539613523036,0.34129099817584513,0.48641251768692123,5000
all_models_rank_pct,Jev - BM25,AUROC,0.1904563227160022,0.15366854840326266,0.22947334814821113,0.13648298114505078,0.2435316149387243,5000
all_models_rank_pct,Jev - BM25,AUPRC_AP,0.2537173636259711,0.21226249638807537,0.30247719056531697,0.1957361942150712,0.31710146111249,5000
all_models_rank_pct,Jev - TF-IDF,AUROC,0.16792347333599789,0.13204534823477235,0.2048502769375522,0.11656089778111349,0.21800028554232442,5000
all_models_rank_pct,Jev - TF-IDF,AUPRC_AP,0.24344492589557806,0.20234906172632572,0.28856931882355796,0.18788814595599315,0.3028137512523901,5000
all_models_rank_pct,Jev - MiniLM,AUROC,0.05592944064940697,0.023144099182064923,0.0874734335339936,0.006172167441499007,0.09959420424433328,5000
all_models_rank_pct,Jev - MiniLM,AUPRC_AP,0.21133217790526154,0.17072236093901683,0.25606331021155043,0.1566655198367156,0.2708790608902527,5000
all_models_rank_pct,Jev - LR,AUROC,0.155058807557787,0.1184214114137091,0.19256263326647477,0.09927607561557315,0.20350245448462626,5000
all_models_rank_pct,Jev - LR,AUPRC_AP,0.24756896456618646,0.20605208957936255,0.29547376981536483,0.1891053535532265,0.3099707692359873,5000
