dataset_id,model,n,positive_n,AUROC,AUPRC_AP,TP,FN,TN,FP,sensitivity,specificity,precision,F1,MCC,accuracy
Bos_2018,Jev,4878,10,0.9460866885784717,0.43756492200428,8.0,2.0,4856.0,12.0,0.8,0.9975349219391948,0.4,0.5333333333333333,0.5645224796102049,0.997129971299713
Chou_2003,Jev,1907,15,0.9943798449612403,0.685870223687561,12.0,3.0,1885.0,7.0,0.8,0.9963002114164905,0.631578947368421,0.7058823529411765,0.7082804118259597,0.9947561615102255
Donners_2021,Jev,258,15,0.9422496570644718,0.6439650669117809,10.0,5.0,223.0,20.0,0.6666666666666666,0.9176954732510288,0.3333333333333333,0.4444444444444444,0.42658225556607926,0.9031007751937985
Meijboom_2021,Jev,882,37,0.8652007036622421,0.37314084852203083,10.0,27.0,836.0,9.0,0.2702702702702703,0.9893491124260355,0.5263157894736842,0.35714285714285715,0.35849584880124885,0.9591836734693877
Menon_2022,Jev,975,74,0.9365344812070672,0.7344980014060031,48.0,26.0,882.0,19.0,0.6486486486486487,0.978912319644839,0.7164179104477612,0.6808510638297872,0.6569825797700012,0.9538461538461539
Nelson_2002,Jev,366,80,0.8615166083916084,0.6715165826197875,59.0,21.0,229.0,57.0,0.7375,0.8006993006993007,0.5086206896551724,0.6020408163265306,0.4780486986017937,0.7868852459016393
Oud_2018,Jev,952,20,0.9449034334763948,0.3220510217719069,13.0,7.0,902.0,30.0,0.65,0.9678111587982833,0.3023255813953488,0.4126984126984127,0.4266409451650297,0.9611344537815126
Wolters_2018,Jev,4278,19,0.9412142707084687,0.43828198725797307,4.0,15.0,4257.0,2.0,0.21052631578947367,0.9995304061986382,0.6666666666666666,0.32,0.373229495007958,0.996026180458158
van_der_Valk_2021,Jev,725,89,0.7821178715285139,0.5114415811869466,35.0,54.0,617.0,19.0,0.39325842696629215,0.970125786163522,0.6481481481481481,0.48951048951048953,0.4541836300116712,0.8993103448275862
van_der_Waal_2022,Jev,1970,33,0.9663490871544563,0.3857785585953845,9.0,24.0,1928.0,9.0,0.2727272727272727,0.9953536396489416,0.5,0.35294117647058826,0.3615859225641899,0.983248730964467
Bos_2018,BM25,4878,10,0.8749383730484799,0.017405388111767086,,,,,,,,,,
Chou_2003,BM25,1907,15,0.8750880902043693,0.0523484897505535,,,,,,,,,,
Donners_2021,BM25,258,15,0.6263374485596708,0.14794665014322042,,,,,,,,,,
Meijboom_2021,BM25,882,37,0.8134975211898289,0.14663979803902832,,,,,,,,,,
Menon_2022,BM25,975,74,0.6026187119416864,0.10108133644346129,,,,,,,,,,
