dataset_id,model,n,positive_n,target_positive_n,boundary_score,boundary_tie_n,boundary_tie_positive_n,screened_n,screening_fraction,work_saved,WSS95,achieved_recall,random_tie_expected_screened_n,random_tie_expected_fraction,random_tie_expected_WSS95,random_tie_best_screened_n,random_tie_worst_screened_n
Bos_2018,Jev,4878,10,10,0.0,4641,1,4878,1.0,0.0,-0.050000000000000044,1.0,2558.0,0.5243952439524395,0.42560475604756043,238.0,4878.0
Chou_2003,Jev,1907,15,15,0.05,7,2,70,0.03670686942842161,0.9632931305715784,0.9132931305715783,1.0,68.33333333333333,0.035832896346792514,0.9141671036532074,65.0,70.0
Donners_2021,Jev,258,15,15,0.02,7,1,76,0.29457364341085274,0.7054263565891472,0.6554263565891472,1.0,73.0,0.28294573643410853,0.6670542635658914,70.0,76.0
Meijboom_2021,Jev,882,37,36,0.0,734,6,882,1.0,0.0,-0.050000000000000044,1.0,673.0,0.7630385487528345,0.18696145124716546,153.0,881.0
Menon_2022,Jev,975,74,71,0.01,137,2,445,0.4564102564102564,0.5435897435897437,0.49358974358974356,0.9594594594594594,400.0,0.41025641025641024,0.5397435897435897,310.0,445.0
Nelson_2002,Jev,366,80,76,0.06,7,1,226,0.6174863387978142,0.3825136612021858,0.33251366120218573,0.95,223.0,0.6092896174863388,0.34071038251366115,220.0,226.0
Oud_2018,Jev,952,20,19,0.08,2,1,89,0.0934873949579832,0.9065126050420168,0.8565126050420168,0.95,88.5,0.09296218487394958,0.8570378151260504,88.0,89.0
Wolters_2018,Jev,4278,19,19,0.0,4150,2,4278,1.0,0.0,-0.050000000000000044,1.0,2895.3333333333335,0.6767960105968521,0.27320398940314783,130.0,4278.0
van_der_Valk_2021,Jev,725,89,85,0.0,569,30,725,1.0,0.0,-0.050000000000000044,1.0,634.0645161290322,0.874571746384872,0.07542825361512795,182.0,721.0
van_der_Waal_2022,Jev,1970,33,32,0.01,79,3,189,0.09593908629441625,0.9040609137055837,0.8540609137055837,0.9696969696969697,170.0,0.08629441624365482,0.8637055837563451,113.0,189.0
