dataset_id,context_source,context_source_url_or_doi
Bos_2018,SYNERGY pinned datasets.toml eligibility criteria and V1.0 archived publication metadata,https://github.com/asreview/synergy-dataset/blob/dc2dadfdbb98eb1b4259604789abd640aa3b693e/datasets.toml ; https://doi.org/10.1016/j.jalz.2018.04.007
Chou_2003,SYNERGY pinned datasets.toml eligibility criteria and V1.0 archived publication metadata,https://github.com/asreview/synergy-dataset/blob/dc2dadfdbb98eb1b4259604789abd640aa3b693e/datasets.toml ; https://doi.org/10.1016/j.jpainsymman.2003.03.003
Donners_2021,SYNERGY pinned datasets.toml eligibility criteria and V1.0 archived publication metadata,https://github.com/asreview/synergy-dataset/blob/dc2dadfdbb98eb1b4259604789abd640aa3b693e/datasets.toml ; https://doi.org/10.1007/s40262-021-01042-w
Meijboom_2021,SYNERGY pinned datasets.toml eligibility criteria and V1.0 archived publication metadata,https://github.com/asreview/synergy-dataset/blob/dc2dadfdbb98eb1b4259604789abd640aa3b693e/datasets.toml ; https://doi.org/10.1007/s40259-021-00508-4
Menon_2022,SYNERGY pinned datasets.toml eligibility criteria and V1.0 archived publication metadata,https://github.com/asreview/synergy-dataset/blob/dc2dadfdbb98eb1b4259604789abd640aa3b693e/datasets.toml ; https://doi.org/10.1080/10408444.2022.2082917
Nelson_2002,SYNERGY pinned datasets.toml eligibility criteria and V1.0 archived publication metadata,https://github.com/asreview/synergy-dataset/blob/dc2dadfdbb98eb1b4259604789abd640aa3b693e/datasets.toml ; https://doi.org/10.1001/jama.288.7.872
Oud_2018,SYNERGY pinned datasets.toml eligibility criteria and V1.0 archived publication metadata,https://github.com/asreview/synergy-dataset/blob/dc2dadfdbb98eb1b4259604789abd640aa3b693e/datasets.toml ; https://doi.org/10.1177/0004867418791257
van_der_Valk_2021,SYNERGY pinned datasets.toml eligibility criteria and V1.0 archived publication metadata,https://github.com/asreview/synergy-dataset/blob/dc2dadfdbb98eb1b4259604789abd640aa3b693e/datasets.toml ; https://doi.org/10.1111/obr.13376
van_der_Waal_2022,SYNERGY pinned datasets.toml eligibility criteria and V1.0 archived publication metadata,https://github.com/asreview/synergy-dataset/blob/dc2dadfdbb98eb1b4259604789abd640aa3b693e/datasets.toml ; https://doi.org/10.1016/j.jgo.2022.09.012
Wolters_2018,SYNERGY pinned datasets.toml eligibility criteria and V1.0 archived publication metadata,https://github.com/asreview/synergy-dataset/blob/dc2dadfdbb98eb1b4259604789abd640aa3b693e/datasets.toml ; https://doi.org/10.1016/j.jalz.2018.01.007
